lessonId,sourceId,itemId,section,itemIndex,legacyType,normalizedInteractionType,hasPassage,choiceCount,hasResponseSpec,hasCorrectResponse,hasScoring,hasVerbatimEvidence,question
"ded16ab08a23dc9a","archive-readable-v2-samples","ded16ab08a23dc9a:markdown:1","markdown","1","mc","MCQ","true","7","false","true","false","","What is the main idea of the passage about the forest?"
"ded16ab08a23dc9a","archive-readable-v2-samples","ded16ab08a23dc9a:markdown:2","markdown","2","drag-drop-table","DRAG_DROP","false","0","false","false","false","","Match each supporting detail to the correct main idea."
"ded16ab08a23dc9a","archive-readable-v2-samples","ded16ab08a23dc9a:markdown:3","markdown","3","two-part-ebsr","EBSR","true","7","false","false","false","","What is the main idea of the passage about the importance of trees?"
"ded16ab08a23dc9a","archive-readable-v2-samples","ded16ab08a23dc9a:markdown:4","markdown","4","mc","MCQ","true","7","false","true","false","","What is the main idea of the passage about rainforests?"
"ded16ab08a23dc9a","archive-readable-v2-samples","ded16ab08a23dc9a:markdown:5","markdown","5","drag-drop-table","DRAG_DROP","false","0","false","false","false","","Match each supporting detail to the correct main idea."
"ded16ab08a23dc9a","archive-readable-v2-samples","ded16ab08a23dc9a:markdown:6","markdown","6","two-part-ebsr","EBSR","true","7","false","false","false","","What is the main idea of the passage about oceans?"
"ded16ab08a23dc9a","archive-readable-v2-samples","ded16ab08a23dc9a:markdown:7","markdown","7","drag-drop-table","DRAG_DROP","false","0","false","false","false","","Match each supporting detail to the correct main idea."
"ded16ab08a23dc9a","archive-readable-v2-samples","ded16ab08a23dc9a:markdown:8","markdown","8","mc","MCQ","true","7","false","true","false","","What is the main idea of the passage about the importance of rivers?"
"ded16ab08a23dc9a","archive-readable-v2-samples","ded16ab08a23dc9a:markdown:9","markdown","9","drag-drop-table","DRAG_DROP","false","0","false","false","false","","Match each supporting detail to the correct main idea."
"ded16ab08a23dc9a","archive-readable-v2-samples","ded16ab08a23dc9a:markdown:10","markdown","10","mc","MCQ","true","7","false","true","false","","What is the main idea of the passage about rainforests?"
"ded16ab08a23dc9a","archive-readable-v2-samples","ded16ab08a23dc9a:markdown:11","markdown","11","two-part-ebsr","EBSR","true","7","false","false","false","","What is the main idea of the passage about oceans?"
"ded16ab08a23dc9a","archive-readable-v2-samples","ded16ab08a23dc9a:markdown:12","markdown","12","drag-drop-table","DRAG_DROP","false","0","false","false","false","","Match each supporting detail to the correct main idea."
"7878651d416222d9","archive-readable-v2-samples","7878651d416222d9:markdown:1","markdown","1","inline-dropdown","INLINE_DROPDOWN","false","2","false","false","false","","Choose the correct verb to complete the sentence: ""Yesterday, she [ ] to the library."""
"7878651d416222d9","archive-readable-v2-samples","7878651d416222d9:markdown:2","markdown","2","inline-dropdown","INLINE_DROPDOWN","false","2","false","false","false","","Select the correct verb tense: ""Tomorrow, they [ ] a picnic."""
"7878651d416222d9","archive-readable-v2-samples","7878651d416222d9:markdown:3","markdown","3","hot-text-word","HOT_TEXT","false","0","false","false","false","","Identify the correct verb in the sentence: ""He [ ] his homework every day."""
"7878651d416222d9","archive-readable-v2-samples","7878651d416222d9:markdown:4","markdown","4","inline-dropdown","INLINE_DROPDOWN","false","2","false","false","false","","Choose the correct verb to complete the sentence: ""Last week, they [ ] a movie."""
"7878651d416222d9","archive-readable-v2-samples","7878651d416222d9:markdown:5","markdown","5","inline-dropdown","INLINE_DROPDOWN","false","2","false","false","false","","Select the correct verb tense: ""Next year, she [ ] to a new school."""
"7878651d416222d9","archive-readable-v2-samples","7878651d416222d9:markdown:6","markdown","6","hot-text-word","HOT_TEXT","false","0","false","false","false","","Identify the correct verb in the sentence: ""They [ ] their lunch now."""
"7878651d416222d9","archive-readable-v2-samples","7878651d416222d9:markdown:7","markdown","7","inline-dropdown","INLINE_DROPDOWN","false","2","false","false","false","","Select the correct verb tense: ""By the time we arrive, they [ ] already left."""
"7878651d416222d9","archive-readable-v2-samples","7878651d416222d9:markdown:8","markdown","8","drag-drop-table","DRAG_DROP","false","0","false","false","false","","Match the verb tense with the correct sentence."
"7878651d416222d9","archive-readable-v2-samples","7878651d416222d9:markdown:9","markdown","9","hot-text-word","HOT_TEXT","false","0","false","false","false","","Identify the correct verb in the sentence: ""She [ ] her homework before dinner every day."""
"7878651d416222d9","archive-readable-v2-samples","7878651d416222d9:markdown:10","markdown","10","inline-dropdown","INLINE_DROPDOWN","false","2","false","false","false","","Choose the correct verb to complete the sentence: ""Yesterday, we [ ] to the park."""
"7878651d416222d9","archive-readable-v2-samples","7878651d416222d9:markdown:11","markdown","11","inline-dropdown","INLINE_DROPDOWN","false","2","false","false","false","","Select the correct verb tense: ""Tomorrow, they [ ] a party."""
"7878651d416222d9","archive-readable-v2-samples","7878651d416222d9:markdown:12","markdown","12","hot-text-word","HOT_TEXT","false","0","false","false","false","","Identify the correct verb in the sentence: ""He [ ] his bike every weekend."""
"1bb97100669bfab1","archive-readable-v2-samples","1bb97100669bfab1:markdown:1","markdown","1","mc","MCQ","true","7","false","true","false","","What does the character's action of helping classmates reveal about them?"
"1bb97100669bfab1","archive-readable-v2-samples","1bb97100669bfab1:markdown:2","markdown","2","hot-text-sentence","HOT_TEXT","false","0","false","false","false","","Which sentence shows that Jake is appreciated by his community?"
"1bb97100669bfab1","archive-readable-v2-samples","1bb97100669bfab1:markdown:3","markdown","3","two-part-ebsr","EBSR","true","8","false","false","false","","How do Jake's actions and words contribute to his character development?"
"1bb97100669bfab1","archive-readable-v2-samples","1bb97100669bfab1:markdown:4","markdown","4","mc","MCQ","true","7","false","true","false","","What does the character's decision to stay late reveal about them?"
"1bb97100669bfab1","archive-readable-v2-samples","1bb97100669bfab1:markdown:5","markdown","5","hot-text-sentence","HOT_TEXT","false","0","false","false","false","","Which sentence shows Lila's friend appreciates her help?"
"1bb97100669bfab1","archive-readable-v2-samples","1bb97100669bfab1:markdown:6","markdown","6","two-part-ebsr","EBSR","true","8","false","false","false","","How do Lila's actions and words contribute to her character development?"
"1bb97100669bfab1","archive-readable-v2-samples","1bb97100669bfab1:markdown:7","markdown","7","mc","MCQ","false","7","false","true","false","","Which action best shows Lila's dedication to friendship?"
"1bb97100669bfab1","archive-readable-v2-samples","1bb97100669bfab1:markdown:8","markdown","8","mc","MCQ","true","7","false","true","false","","What does the character's action of volunteering reveal about them?"
"1bb97100669bfab1","archive-readable-v2-samples","1bb97100669bfab1:markdown:9","markdown","9","hot-text-sentence","HOT_TEXT","false","0","false","false","false","","Which sentence shows Alex's leadership qualities?"
"1bb97100669bfab1","archive-readable-v2-samples","1bb97100669bfab1:markdown:10","markdown","10","mc","MCQ","true","7","false","true","false","","What does the character's action of helping a neighbor reveal about them?"
"1bb97100669bfab1","archive-readable-v2-samples","1bb97100669bfab1:markdown:11","markdown","11","hot-text-sentence","HOT_TEXT","false","0","false","false","false","","Which sentence shows Tom's neighbor appreciates his help?"
"1bb97100669bfab1","archive-readable-v2-samples","1bb97100669bfab1:markdown:12","markdown","12","two-part-ebsr","EBSR","true","8","false","false","false","","How do Tom's actions and words contribute to his character development?"
"1f03bad1f47fc2d5","archive-readable-v2-samples","1f03bad1f47fc2d5:markdown:1","markdown","1","drag-drop-order","DRAG_DROP","false","0","false","false","false","","Arrange the events in the story in the sequence that makes the most sense."
"1f03bad1f47fc2d5","archive-readable-v2-samples","1f03bad1f47fc2d5:markdown:2","markdown","2","multi-select","","false","0","false","false","false","","Which transitions best connect the ideas in the paragraph?"
"1f03bad1f47fc2d5","archive-readable-v2-samples","1f03bad1f47fc2d5:markdown:3","markdown","3","evidence-mapping","","true","0","false","false","false","","Match each claim with the evidence that supports it."
